State;Sex;Title;Reward;Description;Link;Additional;Fields of study
Alabama;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;"
Generic";Any Major
Alabama;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;"
Generic";Any Major
Alabama;Male;Horatio Alger State Scholarship - Alabama;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Alabama;Male;American Legion Auxiliary Scholarship Program;Varies;A grant award to be used for tuition, fees and board expenses to attend a public postsecondary educational institution in Alabama. Awards are restricted to students who attend institutions having on-campus housing.;;Military;Any Major
Alabama;Male;Alabama National Guard Educational Assistance Program;$2,000;An award to be used for tuition, educational fees and book/supplies for Alabama National Guard members to attend a public postsecondary educational institution in Alabama.;;Military;Any Major
Alabama;Male;Alabama Scholarships for Dependents of Blind Parents;Varies;An award to cover instructional fees and tuition at an Alabama state institution of higher learning for children from families in which the head of the family is blind and whose family income is insufficient to provide educational benefits.;;Generic;Any Major
Alabama;Male;Alabama Student Assistance Program;Varies;Need-based, state/federal grant ranging from $300 to $5,000 per academic year. Awards are limited to undergraduate work.;;Generic;Any Major
Alabama;Male;Alabama Student Grant Program;$1,200;An award of grant assistance at an eligible independent Alabama college or university. Is not based on need. Up to $1200 per academic year with maximum amount available only when sufficient funds are available.;;Generic;Any Major
Alabama;Male;Junior and Community College Athletic Scholarship Program;Varies;An award not to exceed total tuition and books for attendance at public junior and community colleges in Alabama. Awards are based on demonstrated athletic ability determined through try-outs. Limits on various sports apply. Awards are not based on financial need.;;Generic;Any Major
Alabama;Male;Junior and Community College Performing Arts Scholarship Program;Varies;An award not to exceed in-state tuition only for attendance at public junior and community colleges in Alabama. Awards are based on demonstrated talent determined through competitive auditions. Awards are not based on financial needs.;;Generic;Any Major
Alabama;Male;Police Officer's and Firefighter's Survivor's Educational Assistance Program;Full Tuition;A grant covering tuition, fees, books and supplies for dependents and eligible spouses of Alabama police officers and firefighters killed in the line of duty. There is no limit on the amount awarded to recipients. Awards are available for undergraduate study in public institutions in Alabama.;;Generic;Any Major
Alabama;Male;Senior Adult Scholarship Program;Full Tuition;A free tuition program for senior citizens (persons aged 60 or over) who meet the admission requirements and attend public two-year postsecondary institutions in Alabama.;;Generic;Any Major
Alabama;Male;Two-Year College Academic Scholarship Program;Full Tuition;An award not to exceed in-state tuition and books for attendance at public two-year postsecondary educational institutions in Alabama. Awards are based on demonstrated academic merit as determined by the institutional scholarship committee. Awards are not based on financial need.;;Generic;Any Major
Alabama;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;"
Generic";Any Major
Alabama;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;"
Generic";Any Major
Alabama;Female;Horatio Alger State Scholarship - Alabama;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Alabama;Female;American Legion Auxiliary Scholarship Program;Varies;A grant award to be used for tuition, fees and board expenses to attend a public postsecondary educational institution in Alabama. Awards are restricted to students who attend institutions having on-campus housing.;;Military;Any Major
Alabama;Female;Alabama National Guard Educational Assistance Program;$2,000;An award to be used for tuition, educational fees and book/supplies for Alabama National Guard members to attend a public postsecondary educational institution in Alabama.;;Military;Any Major
Alabama;Female;Alabama Scholarships for Dependents of Blind Parents;Varies;An award to cover instructional fees and tuition at an Alabama state institution of higher learning for children from families in which the head of the family is blind and whose family income is insufficient to provide educational benefits.;;Generic;Any Major
Alabama;Female;Alabama Student Assistance Program;Varies;Need-based, state/federal grant ranging from $300 to $5,000 per academic year. Awards are limited to undergraduate work.;;Generic;Any Major
Alabama;Female;Alabama Student Grant Program;$1,200;An award of grant assistance at an eligible independent Alabama college or university. Is not based on need. Up to $1200 per academic year with maximum amount available only when sufficient funds are available.;;Generic;Any Major
Alabama;Female;Junior and Community College Athletic Scholarship Program;Varies;An award not to exceed total tuition and books for attendance at public junior and community colleges in Alabama. Awards are based on demonstrated athletic ability determined through try-outs. Limits on various sports apply. Awards are not based on financial need.;;Generic;Any Major
Alabama;Female;Junior and Community College Performing Arts Scholarship Program;Varies;An award not to exceed in-state tuition only for attendance at public junior and community colleges in Alabama. Awards are based on demonstrated talent determined through competitive auditions. Awards are not based on financial needs.;;Generic;Any Major
Alabama;Female;Police Officer's and Firefighter's Survivor's Educational Assistance Program;Full Tuition;A grant covering tuition, fees, books and supplies for dependents and eligible spouses of Alabama police officers and firefighters killed in the line of duty. There is no limit on the amount awarded to recipients. Awards are available for undergraduate study in public institutions in Alabama.;;Generic;Any Major
Alabama;Female;Senior Adult Scholarship Program;Full Tuition;A free tuition program for senior citizens (persons aged 60 or over) who meet the admission requirements and attend public two-year postsecondary institutions in Alabama.;;Generic;Any Major
Alabama;Female;Two-Year College Academic Scholarship Program;Full Tuition;An award not to exceed in-state tuition and books for attendance at public two-year postsecondary educational institutions in Alabama. Awards are based on demonstrated academic merit as determined by the institutional scholarship committee. Awards are not based on financial need.;;Generic;Any Major
Alaska;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Alaska;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Alaska;Male;Horatio Alger State Scholarship - Alaska;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Alaska;Male;Alaska Education Grant;$4,000;The Alaska Education Grant Program provides need-based financial assistance to eligible Alaska students attending qualifying institutions in Alaska. Grant awards range from $500 to $3,000 per academic year for students who have qualifying unmet financial need. A portion of funds is set aside for applicants with exceptional academic preparation and for those enrolled in workforce shortage programs. Students with the highest financial need are awarded in order of need until funds are exhausted.;;Generic;Any Major
Alaska;Male;Alaska Performance Scholarship;$4,755;"The Alaska Performance Scholarship is an invitation to excellence for Alaska's students, parents, and educators. To qualify, students must take a specific, rigorous high school curriculum; earn a minimum 2.5 GPA; and do well on a college or career-readiness exam. Three award levels are available.";;Generic;Any Major
Alaska;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Alaska;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Alaska;Female;Horatio Alger State Scholarship - Alaska;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Alaska;Female;Alaska Education Grant;$4,000;The Alaska Education Grant Program provides need-based financial assistance to eligible Alaska students attending qualifying institutions in Alaska. Grant awards range from $500 to $3,000 per academic year for students who have qualifying unmet financial need. A portion of funds is set aside for applicants with exceptional academic preparation and for those enrolled in workforce shortage programs. Students with the highest financial need are awarded in order of need until funds are exhausted.;;Generic;Any Major
Alaska;Female;Alaska Performance Scholarship;$4,755;"The Alaska Performance Scholarship is an invitation to excellence for Alaska's students, parents, and educators. To qualify, students must take a specific, rigorous high school curriculum; earn a minimum 2.5 GPA; and do well on a college or career-readiness exam. Three award levels are available.";;Generic;Any Major
Arizona;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Arizona;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Arizona;Male;Horatio Alger State Scholarship - Arizona;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Arizona;Male;$1,000 Private University Scholarships;$1,000;Monetary scholarships will be awarded to accounting students at private universities in Arizona for the 2017-2018 school year. The Arizona CPA Foundation Scholarship cannot be paid directly to the recipient. It will be paid to the university in which the recipient is to attend (checks are mailed in July).;https://www.ascpa.com/become_a_cpa/scholarships;Generic;Any Major
Arizona;Male;Arizona CPA Foundation High School Scholarship;$500;The Arizona CPA Foundation for Education and Innovation influences the choices of high potential students to enter the accounting profession in Arizona. It supports efforts of the Arizona Society of CPAs to attract and prepare individuals with the highest potential for contribution to the accounting profession in Arizona through initiatives in formal education. Two monetary scholarships will be awarded in the amount of $500 each if selected as a recipient and the requirements are met.;https://www.ascpa.com/become_a_cpa/scholarships;Generic;Finance/Accounting
Arizona;Male;Italian Catholic Federation;$600;This scholarship is for those living in within the Roman Catholic Dioceses of Arizona, California, Illinois and Nevada and a member of the Italian Catholic Federation.;http://www.icf.org/scholarships/;Generic;Any Major
Arizona;Male;FBLA Arizona Scholarship;$1,000;The FBLA Arizona Scholarship is made available by various business partners and the Arizona chapter of Future Business Leaders of America. There will be ten winners of $1,000.00 each. The scholarships are not renewable and will be paid directly to your school of choice. The scholarship selection committee will focus on three main areas when selecting the scholarship winners: 1) FBLA participation and experience (50%), 2) impact on community (35%), and financial need (15%).;;Generic;Any Major
Arizona;Male;Raise Me Wildcat Tuition Scholarship;Varies;The Raise Me Wildcat Tuition Scholarship is an early outreach engagement pilot program, for a select number of Arizona high schools, encouraging high school academic improvement to assist students in preparing for college. Students enrolled in a participating high school will be notified of this opportunity.;https://financialaid.arizona.edu/types-of-aid/scholarships/2018-2019-terms-and-conditions;Generic;Any Major
Arizona;Male;Ralph M. Knight Chemistry and Engineering Scholarship;$5,000;The Ralph M. Knight Chemistry and Engineering Scholarship is an award toward freshman-year tuition at a 4-year college or university in the U.S. Applicants must be full-time seniors attending a Catholic high school within the Diocese of Phoenix.;https://www.ccfphx.org/scholarships;Catholic;"
Engineering"
Arizona;Male;Arizona Leveraging Educational Assistance Partnership;$2,500;The Arizona Leveraging Educational Assistance Partnership (AzLEAP) establishes a state and institutional partnership to provide student financial assistance in the form of need-based grants to low-income, undergraduate, Arizona resident students who have demonstrated substantial financial need, enabling students to attend postsecondary institutions in the State of Arizona.;https://azgrants.az.gov/available-grants;Generic;Any Major
Arizona;Male;Jacques Avent Scholarship;$5,000;Established by the Central Arizona Chapter of the National Forum for Black Public Administrators to award scholarships valued up to $5,000 to future Black public administrators. The scholarship is named in honor of Jacques Avent, one of NFBPA's original founders. Jacques had a long distinguished public service career. He was the first African American to hold a senior executive position, serving as executive assistant to the City Council and Deputy City Manager with the city of Phoenix, Arizona. Through his trailblazing efforts, he was instrumental in promoting and increasing the number of African Americans in executive and middle management positions throughout the city. More importantly, Jacques served as a mentor and confidant to many CAC-NFBPA members and other city employees.;;"
African American";Any Major
Arizona;Male;Math, Science and Special Education Teacher Loan Forgiveness Program;$7,000;The Math, Science and Special Education Teacher Loan Forgiveness Program (MSSE) is a student-centered, need-based forgivable loan designed to financially support and to encourage Arizona resident junior or senior college students to enter into the teaching profession and teach in a public school in Arizona.;https://azgrants.az.gov/available-grants;Generic;Any Major
Arizona;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Arizona;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Arizona;Female;Horatio Alger State Scholarship - Arizona;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Arizona;Female;BPW/AZ Foundation Scholarships;Varies;This General scholarship provides funding for eligible women attending any Arizona community college.;;Female;Any Major
Arizona;Female;$1,000 Private University Scholarships;$1,000;Monetary scholarships will be awarded to accounting students at private universities in Arizona for the 2017-2018 school year. The Arizona CPA Foundation Scholarship cannot be paid directly to the recipient. It will be paid to the university in which the recipient is to attend (checks are mailed in July).;https://www.ascpa.com/become_a_cpa/scholarships;Generic;Any Major
Arizona;Female;Arizona CPA Foundation High School Scholarship;$500;The Arizona CPA Foundation for Education and Innovation influences the choices of high potential students to enter the accounting profession in Arizona. It supports efforts of the Arizona Society of CPAs to attract and prepare individuals with the highest potential for contribution to the accounting profession in Arizona through initiatives in formal education. Two monetary scholarships will be awarded in the amount of $500 each if selected as a recipient and the requirements are met.;https://www.ascpa.com/become_a_cpa/scholarships;Generic;Finance/Accounting
Arizona;Female;Italian Catholic Federation;$600;This scholarship is for those living in within the Roman Catholic Dioceses of Arizona, California, Illinois and Nevada and a member of the Italian Catholic Federation.;http://www.icf.org/scholarships/;Generic;Any Major
Arizona;Female;FBLA Arizona Scholarship;$1,000;The FBLA Arizona Scholarship is made available by various business partners and the Arizona chapter of Future Business Leaders of America. There will be ten winners of $1,000.00 each. The scholarships are not renewable and will be paid directly to your school of choice. The scholarship selection committee will focus on three main areas when selecting the scholarship winners: 1) FBLA participation and experience (50%), 2) impact on community (35%), and financial need (15%).;;Generic;Any Major
Arizona;Female;Raise Me Wildcat Tuition Scholarship;Varies;The Raise Me Wildcat Tuition Scholarship is an early outreach engagement pilot program, for a select number of Arizona high schools, encouraging high school academic improvement to assist students in preparing for college. Students enrolled in a participating high school will be notified of this opportunity.;https://financialaid.arizona.edu/types-of-aid/scholarships/2018-2019-terms-and-conditions;Generic;Any Major
Arizona;Female;Ralph M. Knight Chemistry and Engineering Scholarship;$5,000;The Ralph M. Knight Chemistry and Engineering Scholarship is an award toward freshman-year tuition at a 4-year college or university in the U.S. Applicants must be full-time seniors attending a Catholic high school within the Diocese of Phoenix.;https://www.ccfphx.org/scholarships;Catholic;"
Engineering"
Arizona;Female;Arizona Leveraging Educational Assistance Partnership;$2,500;The Arizona Leveraging Educational Assistance Partnership (AzLEAP) establishes a state and institutional partnership to provide student financial assistance in the form of need-based grants to low-income, undergraduate, Arizona resident students who have demonstrated substantial financial need, enabling students to attend postsecondary institutions in the State of Arizona.;https://azgrants.az.gov/available-grants;Generic;Any Major
Arizona;Female;Jacques Avent Scholarship;$5,000;Established by the Central Arizona Chapter of the National Forum for Black Public Administrators to award scholarships valued up to $5,000 to future Black public administrators. The scholarship is named in honor of Jacques Avent, one of NFBPA's original founders. Jacques had a long distinguished public service career. He was the first African American to hold a senior executive position, serving as executive assistant to the City Council and Deputy City Manager with the city of Phoenix, Arizona. Through his trailblazing efforts, he was instrumental in promoting and increasing the number of African Americans in executive and middle management positions throughout the city. More importantly, Jacques served as a mentor and confidant to many CAC-NFBPA members and other city employees.;;"
African American";Any Major
Arizona;Female;Math, Science and Special Education Teacher Loan Forgiveness Program;$7,000;The Math, Science and Special Education Teacher Loan Forgiveness Program (MSSE) is a student-centered, need-based forgivable loan designed to financially support and to encourage Arizona resident junior or senior college students to enter into the teaching profession and teach in a public school in Arizona.;https://azgrants.az.gov/available-grants;Generic;Any Major
Arkansas;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Arkansas;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Arkansas;Male;Horatio Alger State Scholarship - Arkansas;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Arkansas;Male;Student Undergraduate Research Fellowship;Varies;Designed to allow undergraduate students to conduct in-depth research projects in their specific fields of study with the assistance of faculty mentors.;;Generic;Any Major
Arkansas;Male;Governor's Distinguished Scholarship;$10,000;The Governor's Distinguished Scholarship is the most academically rigorous scholarship program offered for those graduating seniors scoring either 32 on the ACT or 1410 on the SAT, and a 3.50 academic grade point average. Those who are named National Merit Finalists or National Achievement Scholars may qualify without meeting the GPA requirement, but must still meet the ACT/SAT requirement. The scholarship pays tuition, mandatory fees, room and board up to $10,000 per year.;;Graduating Senior;Any Major
Arkansas;Male;Arkansas Health Education Grant (ARHEG);$27,700;ARHEG provides financial assistance to students seeking professional training in chiropractic medicine, dentistry, optometry, osteopathic medicine, podiatric medicine, and veterinary medicine to allow them to attend out-of-state institutions.;;Generic;Any Major
Arkansas;Male;Higher Education Opportunities Grant (GO! Grant);$1,000;Provides $1000 grants to full-time and $500 grants to part-time students based on financial need. Student must be an Arkansas resident for at least 12 months prior to applying for the grant. Student also must meet the financial need criteria established for the GO! Grant and attend an approved Arkansas institution. Applicants complete the Free Application for Federal Student Aid (FAFSA) and the GO! Opportunities Grant application.;https://studentfinancialservices.uams.edu/awards-division/lottery-scholarship-information/;Generic;Any Major
Arkansas;Male;Law Enforcement Officers' Dependents Scholarship;Varies;LEO provides a waiver of tuition, fees, and room at any public college, university, or technical institute in Arkansas for dependents and spouses of Arkansas law enforcement officers, some Highway and Transportation Department employees, and other public employees, who were killed or permanently disabled in the line of duty.;;Generic;Any Major
Arkansas;Male;Military Dependent Scholarship;Varies;MDS provides a waiver of tuition, fees, room and board at any public college, university, or technical institute in Arkansas for dependents and spouses of Arkansans who were killed or missing in action or who were prisoners of war or who are totally and permanently disabled.;;Generic;Military Family
Arkansas;Male;Out-of-State Veterinary Medical Education Loan Repayment Program;Varies;The Out-of-State Veterinary Medical Education Loan Repayment program will assist with repayment of federal student loans for up to five (5) years for eligible veterinarians that attended Mississippi State University College of Veterinary Medicine and practice food supply veterinary medicine within the State of Arkansas.;;Generic;Any Major
Arkansas;Male;Second Effort Scholarship;$1,000;Up to $1000 annually to the individuals with the top 10 scores on the GED exam during the previous calendar year.;;Generic;Any Major
Arkansas;Male;Teacher Opportunity Program (TOP);$3,000;TOP offers reimbursement grants to current Arkansas teachers and administrators seeking to further their education. Teachers and administrators may apply for reimbursement for out-of-pocket expenses paid for up to six (6) college credit hours completed for an academic year, not to exceed $3000.;;Generic;"
Education"
Arkansas;Male;State Teacher Education Program (STEP);$4,000;STEP is a loan reduction program that offers yearly loan repayment grants to current educators teaching in a subject or geographic shortage area in an Arkansas public school. Teachers must reapply each year and are eligible for up to three years.;;Generic;"
Education"
Arkansas;Male;Academic Challenge Scholarships;Varies;The Academic Challenge Program provides scholarships to Arkansas residents pursuing a higher education. Funded in large part by the Arkansas Scholarship Lottery, the Academic Challenge Scholarship is available to students regardless of their academic status, whether just graduating from high school, currently enrolled in college, enrolling in college for the first time, or re-enrolling after a period of time out of college.;;Generic;Any Major
Arkansas;Male;Single Parent Scholarship;Varies;Single Parent Scholarships (SPSF) are given to low-income single parents who are pursuing post-secondary education in preparation for skilled employment. Scholarship Funds are administered by affiliate organizations and volunteers in each county of Arkansas. Eligibility criteria and application requirements vary by county. To apply for a scholarship or to get involved, contact the affiliate SPSF serving the county you live in.;https://www.aspsf.org/;Generic;Any Major
Arkansas;Male;Washington Center Scholarship;$6,000;A program that awards scholarships of up to $6000 to Arkansas students who are accepted to The Washington Center for Internships and Academic Seminars located in Washington, D.C.;;Generic;Any Major
Arkansas;Male;Workforce Improvement Grant (WIG);$2,000;WIG awards up to $2000 annually to students at least 24 years old based on financial need. Students apply using the Free Application for Federal Student Aid and awards are made by the institution the student attends. Students may be enrolled part time.;;Generic;Any Major
Arkansas;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Arkansas;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Arkansas;Female;Horatio Alger State Scholarship - Arkansas;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Arkansas;Female;Student Undergraduate Research Fellowship;Varies;Designed to allow undergraduate students to conduct in-depth research projects in their specific fields of study with the assistance of faculty mentors.;;Generic;Any Major
Arkansas;Female;Governor's Distinguished Scholarship;$10,000;The Governor's Distinguished Scholarship is the most academically rigorous scholarship program offered for those graduating seniors scoring either 32 on the ACT or 1410 on the SAT, and a 3.50 academic grade point average. Those who are named National Merit Finalists or National Achievement Scholars may qualify without meeting the GPA requirement, but must still meet the ACT/SAT requirement. The scholarship pays tuition, mandatory fees, room and board up to $10,000 per year.;;Graduating Senior;Any Major
Arkansas;Female;Arkansas Health Education Grant (ARHEG);$27,700;ARHEG provides financial assistance to students seeking professional training in chiropractic medicine, dentistry, optometry, osteopathic medicine, podiatric medicine, and veterinary medicine to allow them to attend out-of-state institutions.;;Generic;Any Major
Arkansas;Female;Higher Education Opportunities Grant (GO! Grant);$1,000;Provides $1000 grants to full-time and $500 grants to part-time students based on financial need. Student must be an Arkansas resident for at least 12 months prior to applying for the grant. Student also must meet the financial need criteria established for the GO! Grant and attend an approved Arkansas institution. Applicants complete the Free Application for Federal Student Aid (FAFSA) and the GO! Opportunities Grant application.;https://studentfinancialservices.uams.edu/awards-division/lottery-scholarship-information/;Generic;Any Major
Arkansas;Female;Law Enforcement Officers' Dependents Scholarship;Varies;LEO provides a waiver of tuition, fees, and room at any public college, university, or technical institute in Arkansas for dependents and spouses of Arkansas law enforcement officers, some Highway and Transportation Department employees, and other public employees, who were killed or permanently disabled in the line of duty.;;Generic;Any Major
Arkansas;Female;Military Dependent Scholarship;Varies;MDS provides a waiver of tuition, fees, room and board at any public college, university, or technical institute in Arkansas for dependents and spouses of Arkansans who were killed or missing in action or who were prisoners of war or who are totally and permanently disabled.;;Generic;Military Family
Arkansas;Female;Out-of-State Veterinary Medical Education Loan Repayment Program;Varies;The Out-of-State Veterinary Medical Education Loan Repayment program will assist with repayment of federal student loans for up to five (5) years for eligible veterinarians that attended Mississippi State University College of Veterinary Medicine and practice food supply veterinary medicine within the State of Arkansas.;;Generic;Any Major
Arkansas;Female;Second Effort Scholarship;$1,000;Up to $1000 annually to the individuals with the top 10 scores on the GED exam during the previous calendar year.;;Generic;Any Major
Arkansas;Female;Teacher Opportunity Program (TOP);$3,000;TOP offers reimbursement grants to current Arkansas teachers and administrators seeking to further their education. Teachers and administrators may apply for reimbursement for out-of-pocket expenses paid for up to six (6) college credit hours completed for an academic year, not to exceed $3000.;;Generic;"
Education"
Arkansas;Female;State Teacher Education Program (STEP);$4,000;STEP is a loan reduction program that offers yearly loan repayment grants to current educators teaching in a subject or geographic shortage area in an Arkansas public school. Teachers must reapply each year and are eligible for up to three years.;;Generic;"
Education"
Arkansas;Female;Academic Challenge Scholarships;Varies;The Academic Challenge Program provides scholarships to Arkansas residents pursuing a higher education. Funded in large part by the Arkansas Scholarship Lottery, the Academic Challenge Scholarship is available to students regardless of their academic status, whether just graduating from high school, currently enrolled in college, enrolling in college for the first time, or re-enrolling after a period of time out of college.;;Generic;Any Major
Arkansas;Female;Single Parent Scholarship;Varies;Single Parent Scholarships (SPSF) are given to low-income single parents who are pursuing post-secondary education in preparation for skilled employment. Scholarship Funds are administered by affiliate organizations and volunteers in each county of Arkansas. Eligibility criteria and application requirements vary by county. To apply for a scholarship or to get involved, contact the affiliate SPSF serving the county you live in.;https://www.aspsf.org/;Generic;Any Major
Arkansas;Female;Washington Center Scholarship;$6,000;A program that awards scholarships of up to $6000 to Arkansas students who are accepted to The Washington Center for Internships and Academic Seminars located in Washington, D.C.;;Generic;Any Major
Arkansas;Female;Workforce Improvement Grant (WIG);$2,000;WIG awards up to $2000 annually to students at least 24 years old based on financial need. Students apply using the Free Application for Federal Student Aid and awards are made by the institution the student attends. Students may be enrolled part time.;;Generic;Any Major
